A-site,B-site,X-site,T_f,O_f,r_A.eff,P_A,A_HOMO,χ_B,r_B_s+p,A_LUMO,r_B,IE_B,P_B,EA_B,X_p-electron,IC_B,1st_IP_B,VE_B,B_d-electron,1st_IP_X,χ_X,P_X,IC_X,r_X_s+p,r_X,X_s-electron,B_p-electron,EA_X,B_s-electron,X_d-electron,B_f-electron,X_f-electron
(CH2)3NH2,Ca,I,1.0385630848677416,0.45454545454545453,2.5,5.406571467000001,-13.364,1.17,3.0,-5.8210000000000015,1.0,11.87172,25.0,0.02455,24,18,6.11,0,0,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
(CH2)3NH2,Cd,F,1.1878153385721388,0.7142857142857142,2.5,5.406571467000001,-13.364,1.4,2.215,-5.8210000000000015,0.95,16.90831,7.36,0.3983,6,46,8.99,10,20,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Cd,Cl,1.1042138503311667,0.5248618784530387,2.5,5.406571467000001,-13.364,1.4,2.215,-5.8210000000000015,0.95,16.90831,7.36,0.3983,11,46,8.99,10,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
(CH2)3NH2,Cd,Br,1.0837444137773202,0.4846938775510204,2.5,5.406571467000001,-13.364,1.4,2.215,-5.8210000000000015,0.95,16.90831,7.36,0.3983,18,46,8.99,10,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
(CH2)3NH2,Cd,I,1.0550482131989756,0.43181818181818177,2.5,5.406571467000001,-13.364,1.4,2.215,-5.8210000000000015,0.95,16.90831,7.36,0.3983,24,46,8.99,10,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
(CH2)3NH2,Cu,F,1.3146694038565423,0.5488721804511277,2.5,5.406571467000001,-13.364,1.9,2.04,-5.8210000000000015,0.73,20.2924,6.1,1.235,6,27,7.73,9,9,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
(CH2)3NH2,Cu,Cl,1.1998544200448897,0.4033149171270718,2.5,5.406571467000001,-13.364,1.9,2.04,-5.8210000000000015,0.73,20.2924,6.1,1.235,11,27,7.73,9,9,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
(CH2)3NH2,Cu,Br,1.1723777859078073,0.37244897959183676,2.5,5.406571467000001,-13.364,1.9,2.04,-5.8210000000000015,0.73,20.2924,6.1,1.235,18,27,7.73,9,9,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
(CH2)3NH2,Cu,I,1.1342668503674993,0.3318181818181818,2.5,5.406571467000001,-13.364,1.9,2.04,-5.8210000000000015,0.73,20.2924,6.1,1.235,24,27,7.73,9,9,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
(CH2)3NH2,Ge,F,1.3146694038565423,0.5488721804511277,2.5,5.406571467000001,-13.364,2.01,1.56,-5.8210000000000015,0.73,15.934610000000001,5.84,1.232712,6,30,7.9,2,10,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,8,0,0,0
(CH2)3NH2,Ge,Cl,1.1998544200448897,0.4033149171270718,2.5,5.406571467000001,-13.364,2.01,1.56,-5.8210000000000015,0.73,15.934610000000001,5.84,1.232712,11,30,7.9,2,10,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,8,0,0,0
(CH2)3NH2,Ge,Br,1.1723777859078073,0.37244897959183676,2.5,5.406571467000001,-13.364,2.01,1.56,-5.8210000000000015,0.73,15.934610000000001,5.84,1.232712,18,30,7.9,2,10,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,8,10,0,0
(CH2)3NH2,Ge,I,1.1342668503674993,0.3318181818181818,2.5,5.406571467000001,-13.364,2.01,1.56,-5.8210000000000015,0.73,15.934610000000001,5.84,1.232712,24,30,7.9,2,10,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,8,20,0,0
(CH2)3NH2,Hf,F,1.1237423120101564,0.8120300751879699,2.5,5.406571467000001,-13.364,1.73,2.91,-5.8210000000000015,1.08,15.0,16.2,0.013999999999999999,6,70,6.83,2,22,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0
(CH2)3NH2,Hf,Cl,1.0545433311121177,0.5966850828729282,2.5,5.406571467000001,-13.364,1.73,2.91,-5.8210000000000015,1.08,15.0,16.2,0.013999999999999999,11,70,6.83,2,22,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0
(CH2)3NH2,Hf,Br,1.0374000802934216,0.5510204081632654,2.5,5.406571467000001,-13.364,1.73,2.91,-5.8210000000000015,1.08,15.0,16.2,0.013999999999999999,18,70,6.83,2,22,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0
(CH2)3NH2,Hf,I,1.013232277919748,0.4909090909090909,2.5,5.406571467000001,-13.364,1.73,2.91,-5.8210000000000015,1.08,15.0,16.2,0.013999999999999999,24,70,6.83,2,22,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0
(CH2)3NH2,In,F,1.1698570073194285,0.7406015037593985,2.5,5.406571467000001,-13.364,1.63,2.05,-5.8210000000000015,0.985,18.8703,9.1,0.3,6,47,5.79,1,20,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,9,0,0,0
(CH2)3NH2,In,Cl,1.0903864854790768,0.5441988950276243,2.5,5.406571467000001,-13.364,1.63,2.05,-5.8210000000000015,0.985,18.8703,9.1,0.3,11,47,5.79,1,20,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,9,0,0,0
(CH2)3NH2,In,Br,1.0708645990125643,0.5025510204081632,2.5,5.406571467000001,-13.364,1.63,2.05,-5.8210000000000015,0.985,18.8703,9.1,0.3,18,47,5.79,1,20,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,9,10,0,0
(CH2)3NH2,In,I,1.0434542767901955,0.4477272727272727,2.5,5.406571467000001,-13.364,1.63,2.05,-5.8210000000000015,0.985,18.8703,9.1,0.3,24,47,5.79,1,20,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,9,20,0,0
(CH2)3NH2,Mg,F,1.3210824253387692,0.5413533834586466,2.5,5.406571467000001,-13.364,1.31,2.03,-5.8210000000000015,0.72,15.03527,10.6,0.2623,6,10,7.65,0,0,17.42,3.98,0.557,10,0.405,1.33,4,6,3.4010000000000002,4,0,0,0
(CH2)3NH2,Mg,Cl,1.2045969276339998,0.39779005524861877,2.5,5.406571467000001,-13.364,1.31,2.03,-5.8210000000000015,0.72,15.03527,10.6,0.2623,11,10,7.65,0,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,4,0,0,0
(CH2)3NH2,Mg,Br,1.1767523298850753,0.3673469387755102,2.5,5.406571467000001,-13.364,1.31,2.03,-5.8210000000000015,0.72,15.03527,10.6,0.2623,18,10,7.65,0,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,4,10,0,0
(CH2)3NH2,Mg,I,1.1381513258824567,0.3272727272727272,2.5,5.406571467000001,-13.364,1.31,2.03,-5.8210000000000015,0.72,15.03527,10.6,0.2623,24,10,7.65,0,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,4,20,0,0
(CH2)3NH2,Mo,F,1.2144479694818282,0.6766917293233082,2.5,5.406571467000001,-13.364,1.94,2.72,-5.8210000000000015,0.9,16.16,12.8,0.748,6,40,7.09,4,14,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Mo,Cl,1.1245867995992693,0.4972375690607735,2.5,5.406571467000001,-13.364,1.94,2.72,-5.8210000000000015,0.9,16.16,12.8,0.748,11,40,7.09,4,14,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
(CH2)3NH2,Mo,Br,1.102690994437763,0.45918367346938777,2.5,5.406571467000001,-13.364,1.94,2.72,-5.8210000000000015,0.9,16.16,12.8,0.748,18,40,7.09,4,14,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
(CH2)3NH2,Mo,I,1.0720651198634752,0.40909090909090906,2.5,5.406571467000001,-13.364,1.94,2.72,-5.8210000000000015,0.9,16.16,12.8,0.748,24,40,7.09,4,14,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
(CH2)3NH2,Nb,F,1.1673357637691708,0.744360902255639,2.5,5.406571467000001,-13.364,2.03,2.79,-5.8210000000000015,0.99,14.0,15.7,0.9159999999999999,6,39,6.76,3,13,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Nb,Cl,1.0884393667550072,0.5469613259668508,2.5,5.406571467000001,-13.364,2.03,2.79,-5.8210000000000015,0.99,14.0,15.7,0.9159999999999999,11,39,6.76,3,13,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
(CH2)3NH2,Nb,Br,1.0690495742684751,0.5051020408163265,2.5,5.406571467000001,-13.364,2.03,2.79,-5.8210000000000015,0.99,14.0,15.7,0.9159999999999999,18,39,6.76,3,13,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
(CH2)3NH2,Nb,I,1.0418187685193645,0.44999999999999996,2.5,5.406571467000001,-13.364,2.03,2.79,-5.8210000000000015,0.99,14.0,15.7,0.9159999999999999,24,39,6.76,3,13,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
(CH2)3NH2,Ni,F,1.3407024613586518,0.5187969924812029,2.5,5.406571467000001,-13.364,1.76,2.18,-5.8210000000000015,0.69,18.16884,6.8,1.156,6,26,7.64,8,8,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
(CH2)3NH2,Ni,Cl,1.219052090765608,0.38121546961325964,2.5,5.406571467000001,-13.364,1.76,2.18,-5.8210000000000015,0.69,18.16884,6.8,1.156,11,26,7.64,8,8,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
(CH2)3NH2,Ni,Br,1.1900740543743402,0.3520408163265306,2.5,5.406571467000001,-13.364,1.76,2.18,-5.8210000000000015,0.69,18.16884,6.8,1.156,18,26,7.64,8,8,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
(CH2)3NH2,Ni,I,1.1499660455282952,0.3136363636363636,2.5,5.406571467000001,-13.364,1.76,2.18,-5.8210000000000015,0.69,18.16884,6.8,1.156,24,26,7.64,8,8,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
(CH2)3NH2,P,F,1.3817443734410597,0.47368421052631576,2.5,5.406571467000001,-13.364,2.32,1.24,-5.8210000000000015,0.63,19.7695,3.63,0.746607,6,13,10.49,3,0,17.42,3.98,0.557,10,0.405,1.33,4,7,3.4010000000000002,6,0,0,0
(CH2)3NH2,P,Cl,1.2490287815221393,0.34806629834254144,2.5,5.406571467000001,-13.364,2.32,1.24,-5.8210000000000015,0.63,19.7695,3.63,0.746607,11,13,10.49,3,0,12.97,3.16,2.18,18,1.01,1.81,6,7,3.613,6,0,0,0
(CH2)3NH2,P,Br,1.2176433374872593,0.32142857142857145,2.5,5.406571467000001,-13.364,2.32,1.24,-5.8210000000000015,0.63,19.7695,3.63,0.746607,18,13,10.49,3,0,11.81,2.96,3.04,36,1.2,1.96,8,7,3.364,6,10,0,0
(CH2)3NH2,P,I,1.1743469510871989,0.2863636363636363,2.5,5.406571467000001,-13.364,2.32,1.24,-5.8210000000000015,0.63,19.7695,3.63,0.746607,24,13,10.49,3,0,10.45,2.66,4.7,54,1.585,2.2,10,7,3.0589999999999997,6,20,0,0
(CH2)3NH2,Pb,F,1.0746900682319354,0.894736842105263,2.5,5.406571467000001,-13.364,1.8,2.09,-5.8210000000000015,1.19,15.03248,6.98,0.364,6,80,7.42,2,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,12,0,14,0
(CH2)3NH2,Pb,Cl,1.0158767423046733,0.6574585635359116,2.5,5.406571467000001,-13.364,1.8,2.09,-5.8210000000000015,1.19,15.03248,6.98,0.364,11,80,7.42,2,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,12,0,14,0
(CH2)3NH2,Pb,Br,1.0011734108228578,0.6071428571428571,2.5,5.406571467000001,-13.364,1.8,2.09,-5.8210000000000015,1.19,15.03248,6.98,0.364,18,80,7.42,2,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,12,10,14,0
(CH2)3NH2,Pb,I,0.9803545343884286,0.5409090909090909,2.5,5.406571467000001,-13.364,1.8,2.09,-5.8210000000000015,1.19,15.03248,6.98,0.364,24,80,7.42,2,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,12,20,14,0
(CH2)3NH2,Pd,F,1.2366296675545558,0.6466165413533834,2.5,5.406571467000001,-13.364,2.08,2.45,-5.8210000000000015,0.86,19.43,4.8,0.562,6,44,8.34,8,18,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Pd,Cl,1.1414345419153633,0.4751381215469613,2.5,5.406571467000001,-13.364,2.08,2.45,-5.8210000000000015,0.86,19.43,4.8,0.562,11,44,8.34,8,18,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
(CH2)3NH2,Pd,Br,1.1183320014510645,0.4387755102040816,2.5,5.406571467000001,-13.364,2.08,2.45,-5.8210000000000015,0.86,19.43,4.8,0.562,18,44,8.34,8,18,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
(CH2)3NH2,Pd,I,1.0860790429989455,0.3909090909090909,2.5,5.406571467000001,-13.364,2.08,2.45,-5.8210000000000015,0.86,19.43,4.8,0.562,24,44,8.34,8,18,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
(CH2)3NH2,Re,F,1.2423022807084756,0.6390977443609022,2.5,5.406571467000001,-13.364,2.06,2.68,-5.8210000000000015,0.85,17.833,9.7,0.15,6,73,7.88,5,25,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0
(CH2)3NH2,Re,Cl,1.1457256492157968,0.46961325966850825,2.5,5.406571467000001,-13.364,2.06,2.68,-5.8210000000000015,0.85,17.833,9.7,0.15,11,73,7.88,5,25,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0
(CH2)3NH2,Re,Br,1.122311830637723,0.4336734693877551,2.5,5.406571467000001,-13.364,2.06,2.68,-5.8210000000000015,0.85,17.833,9.7,0.15,18,73,7.88,5,25,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0
(CH2)3NH2,Re,I,1.089639957894024,0.3863636363636363,2.5,5.406571467000001,-13.364,2.06,2.68,-5.8210000000000015,0.85,17.833,9.7,0.15,24,73,7.88,5,25,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0
(CH2)3NH2,Rh,F,1.2480271760112798,0.631578947368421,2.5,5.406571467000001,-13.364,1.99,2.52,-5.8210000000000015,0.84,18.08,8.6,1.137,6,43,7.46,7,17,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Rh,Cl,1.1500491422317056,0.46408839779005523,2.5,5.406571467000001,-13.364,1.99,2.52,-5.8210000000000015,0.84,18.08,8.6,1.137,11,43,7.46,7,17,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
(CH2)3NH2,Rh,Br,1.1263200871757149,0.42857142857142855,2.5,5.406571467000001,-13.364,1.99,2.52,-5.8210000000000015,0.84,18.08,8.6,1.137,18,43,7.46,7,17,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
(CH2)3NH2,Rh,I,1.0932242998607806,0.3818181818181818,2.5,5.406571467000001,-13.364,1.99,2.52,-5.8210000000000015,0.84,18.08,8.6,1.137,24,43,7.46,7,17,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
(CH2)3NH2,Sb,F,1.0789717019699112,0.8872180451127819,2.5,5.406571467000001,-13.364,2.14,1.765,-5.8210000000000015,1.18,16.63,6.6,1.046,6,49,8.54,3,20,17.42,3.98,0.557,10,0.405,1.33,4,19,3.4010000000000002,10,0,0,0
(CH2)3NH2,Sb,Cl,1.0192743233826151,0.6519337016574586,2.5,5.406571467000001,-13.364,2.14,1.765,-5.8210000000000015,1.18,16.63,6.6,1.046,11,49,8.54,3,20,12.97,3.16,2.18,18,1.01,1.81,6,19,3.613,10,0,0,0
(CH2)3NH2,Sb,Br,1.004361861175797,0.6020408163265306,2.5,5.406571467000001,-13.364,2.14,1.765,-5.8210000000000015,1.18,16.63,6.6,1.046,18,49,8.54,3,20,11.81,2.96,3.04,36,1.2,1.96,8,19,3.364,10,10,0,0
(CH2)3NH2,Sb,I,0.9832549915907614,0.5363636363636363,2.5,5.406571467000001,-13.364,2.14,1.765,-5.8210000000000015,1.18,16.63,6.6,1.046,24,49,8.54,3,20,10.45,2.66,4.7,54,1.585,2.2,10,19,3.0589999999999997,10,20,0,0
(CH2)3NH2,Sc,F,1.1930480052618841,0.706766917293233,2.5,5.406571467000001,-13.364,1.5,2.75,-5.8210000000000015,0.94,12.79977,17.8,0.188,6,19,6.56,1,1,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
(CH2)3NH2,Sc,Cl,1.1082291734232799,0.5193370165745856,2.5,5.406571467000001,-13.364,1.5,2.75,-5.8210000000000015,0.94,12.79977,17.8,0.188,11,19,6.56,1,1,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
(CH2)3NH2,Sc,Br,1.0874814634800007,0.47959183673469385,2.5,5.406571467000001,-13.364,1.5,2.75,-5.8210000000000015,0.94,12.79977,17.8,0.188,18,19,6.56,1,1,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
(CH2)3NH2,Sc,I,1.0584082393556602,0.4272727272727272,2.5,5.406571467000001,-13.364,1.5,2.75,-5.8210000000000015,0.94,12.79977,17.8,0.188,24,19,6.56,1,1,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
(CH2)3NH2,Si,F,1.3677873595679177,0.48872180451127817,2.5,5.406571467000001,-13.364,1.98,1.42,-5.8210000000000015,0.65,16.54584,5.53,1.3895211,6,12,8.15,2,0,17.42,3.98,0.557,10,0.405,1.33,4,6,3.4010000000000002,6,0,0,0
(CH2)3NH2,Si,Cl,1.2388740759813088,0.35911602209944754,2.5,5.406571467000001,-13.364,1.98,1.42,-5.8210000000000015,0.65,16.54584,5.53,1.3895211,11,12,8.15,2,0,12.97,3.16,2.18,18,1.01,1.81,6,6,3.613,6,0,0,0
(CH2)3NH2,Si,Br,1.2083127372000009,0.3316326530612245,2.5,5.406571467000001,-13.364,1.98,1.42,-5.8210000000000015,0.65,16.54584,5.53,1.3895211,18,12,8.15,2,0,11.81,2.96,3.04,36,1.2,1.96,8,6,3.364,6,10,0,0
(CH2)3NH2,Si,I,1.1661059198514994,0.2954545454545454,2.5,5.406571467000001,-13.364,1.98,1.42,-5.8210000000000015,0.65,16.54584,5.53,1.3895211,24,12,8.15,2,0,10.45,2.66,4.7,54,1.585,2.2,10,6,3.0589999999999997,6,20,0,0
(CH2)3NH2,Sn,F,1.1053954987528476,0.8421052631578948,2.5,5.406571467000001,-13.364,1.96,1.88,-5.8210000000000015,1.12,14.6322,6.28,1.112067,6,48,7.34,2,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,10,0,0,0
(CH2)3NH2,Sn,Cl,1.0401468351242389,0.6187845303867404,2.5,5.406571467000001,-13.364,1.96,1.88,-5.8210000000000015,1.12,14.6322,6.28,1.112067,11,48,7.34,2,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,10,0,0,0
(CH2)3NH2,Sn,Br,1.0239273519779226,0.5714285714285715,2.5,5.406571467000001,-13.364,1.96,1.88,-5.8210000000000015,1.12,14.6322,6.28,1.112067,18,48,7.34,2,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,10,10,0,0
(CH2)3NH2,Sn,I,1.0010246601134858,0.5090909090909091,2.5,5.406571467000001,-13.364,1.96,1.88,-5.8210000000000015,1.12,14.6322,6.28,1.112067,24,48,7.34,2,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,10,20,0,0
(CH2)3NH2,Sr,F,1.0789717019699112,0.8872180451127819,2.5,5.406571467000001,-13.364,1.13,3.21,-5.8210000000000015,1.18,11.0301,27.6,0.048,6,36,5.7,0,10,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Sr,Cl,1.0192743233826151,0.6519337016574586,2.5,5.406571467000001,-13.364,1.13,3.21,-5.8210000000000015,1.18,11.0301,27.6,0.048,11,36,5.7,0,10,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
(CH2)3NH2,Sr,Br,1.004361861175797,0.6020408163265306,2.5,5.406571467000001,-13.364,1.13,3.21,-5.8210000000000015,1.18,11.0301,27.6,0.048,18,36,5.7,0,10,11.81,2.96,3.04,36,1.2,1.96,8,18,3.364,8,10,0,0
(CH2)3NH2,Sr,I,0.9832549915907614,0.5363636363636363,2.5,5.406571467000001,-13.364,1.13,3.21,-5.8210000000000015,1.18,11.0301,27.6,0.048,24,36,5.7,0,10,10.45,2.66,4.7,54,1.585,2.2,10,18,3.0589999999999997,8,20,0,0
(CH2)3NH2,Ta,F,1.1723891653439293,0.7368421052631579,2.5,5.406571467000001,-13.364,1.94,2.79,-5.8210000000000015,0.98,15.5,13.1,0.322,6,71,7.89,3,23,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0
(CH2)3NH2,Ta,Cl,1.0923405831233046,0.5414364640883977,2.5,5.406571467000001,-13.364,1.94,2.79,-5.8210000000000015,0.98,15.5,13.1,0.322,11,71,7.89,3,23,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0
(CH2)3NH2,Ta,Br,1.0726857973102046,0.5,2.5,5.406571467000001,-13.364,1.94,2.79,-5.8210000000000015,0.98,15.5,13.1,0.322,18,71,7.89,3,23,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0
(CH2)3NH2,Ta,I,1.0450949281687965,0.44545454545454544,2.5,5.406571467000001,-13.364,1.94,2.79,-5.8210000000000015,0.98,15.5,13.1,0.322,24,71,7.89,3,23,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0
(CH2)3NH2,Ti,F,1.2366296675545558,0.6466165413533834,2.5,5.406571467000001,-13.364,1.86,2.58,-5.8210000000000015,0.86,13.5755,14.6,0.079,6,20,6.83,2,5,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
(CH2)3NH2,Ti,Cl,1.1414345419153633,0.4751381215469613,2.5,5.406571467000001,-13.364,1.86,2.58,-5.8210000000000015,0.86,13.5755,14.6,0.079,11,20,6.83,2,5,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
(CH2)3NH2,Ti,Br,1.1183320014510645,0.4387755102040816,2.5,5.406571467000001,-13.364,1.86,2.58,-5.8210000000000015,0.86,13.5755,14.6,0.079,18,20,6.83,2,5,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
(CH2)3NH2,Ti,I,1.0860790429989455,0.3909090909090909,2.5,5.406571467000001,-13.364,1.86,2.58,-5.8210000000000015,0.86,13.5755,14.6,0.079,24,20,6.83,2,5,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
(CH2)3NH2,Tl,F,0.9920216014448634,1.0526315789473684,2.5,5.406571467000001,-13.364,1.69,2.235,-5.8210000000000015,1.4,20.4283,7.5,0.377,6,79,6.11,1,30,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,11,0,14,0
(CH2)3NH2,Tl,Cl,0.9494175161725918,0.7734806629834253,2.5,5.406571467000001,-13.364,1.69,2.235,-5.8210000000000015,1.4,20.4283,7.5,0.377,11,79,6.11,1,30,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,11,0,14,0
(CH2)3NH2,Tl,Br,0.9386000726464291,0.7142857142857143,2.5,5.406571467000001,-13.364,1.69,2.235,-5.8210000000000015,1.4,20.4283,7.5,0.377,18,79,6.11,1,30,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,11,10,14,0
(CH2)3NH2,Tl,I,0.9231671865491037,0.6363636363636362,2.5,5.406571467000001,-13.364,1.69,2.235,-5.8210000000000015,1.4,20.4283,7.5,0.377,24,79,6.11,1,30,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,11,20,14,0
(CH2)3NH2,V,F,1.2774617792190928,0.5939849624060151,2.5,5.406571467000001,-13.364,2.22,2.43,-5.8210000000000015,0.79,14.618,12.4,0.525,6,21,6.75,3,3,17.42,3.98,0.557,10,0.405,1.33,4,12,3.4010000000000002,6,0,0,0
(CH2)3NH2,V,Cl,1.1721654718900076,0.43646408839779005,2.5,5.406571467000001,-13.364,2.22,2.43,-5.8210000000000015,0.79,14.618,12.4,0.525,11,21,6.75,3,3,12.97,3.16,2.18,18,1.01,1.81,6,12,3.613,6,0,0,0
(CH2)3NH2,V,Br,1.1467986342152734,0.4030612244897959,2.5,5.406571467000001,-13.364,2.22,2.43,-5.8210000000000015,0.79,14.618,12.4,0.525,18,21,6.75,3,3,11.81,2.96,3.04,36,1.2,1.96,8,12,3.364,6,10,0,0
(CH2)3NH2,V,I,1.111505642667817,0.35909090909090907,2.5,5.406571467000001,-13.364,2.22,2.43,-5.8210000000000015,0.79,14.618,12.4,0.525,24,21,6.75,3,3,10.45,2.66,4.7,54,1.585,2.2,10,12,3.0589999999999997,6,20,0,0
(CH2)3NH2,W,F,1.2090263267609271,0.6842105263157895,2.5,5.406571467000001,-13.364,1.79,2.735,-5.8210000000000015,0.91,16.1,11.1,0.81626,6,72,7.98,4,24,17.42,3.98,0.557,10,0.405,1.33,4,24,3.4010000000000002,10,0,14,0
(CH2)3NH2,W,Cl,1.1204522893066249,0.5027624309392266,2.5,5.406571467000001,-13.364,1.79,2.735,-5.8210000000000015,0.91,16.1,11.1,0.81626,11,72,7.98,4,24,12.97,3.16,2.18,18,1.01,1.81,6,24,3.613,10,0,14,0
(CH2)3NH2,W,Br,1.0988488655372828,0.4642857142857143,2.5,5.406571467000001,-13.364,1.79,2.735,-5.8210000000000015,0.91,16.1,11.1,0.81626,18,72,7.98,4,24,11.81,2.96,3.04,36,1.2,1.96,8,24,3.364,10,10,14,0
(CH2)3NH2,W,I,1.068617965137226,0.41363636363636364,2.5,5.406571467000001,-13.364,1.79,2.735,-5.8210000000000015,0.91,16.1,11.1,0.81626,24,72,7.98,4,24,10.45,2.66,4.7,54,1.585,2.2,10,24,3.0589999999999997,10,20,14,0
(CH2)3NH2,Y,F,1.0942298876543342,0.8609022556390977,2.5,5.406571467000001,-13.364,1.41,2.94,-5.8210000000000015,1.145,12.224,22.7,0.307,6,37,6.22,1,11,17.42,3.98,0.557,10,0.405,1.33,4,18,3.4010000000000002,8,0,0,0
(CH2)3NH2,Y,Cl,1.0313469465022065,0.6325966850828729,2.5,5.406571467000001,-13.364,1.41,2.94,-5.8210000000000015,1.145,12.224,22.7,0.307,11,37,6.22,1,11,12.97,3.16,2.18,18,1.01,1.81,6,18,3.613,8,0,0,0
